name,code_snomed,note_snomed,code_icd10,note_icd10
ABDOMINAL PAIN,21522001,,,
ACUTE CARDIAC INJURY,,,,
ACUTE GASTROENTERITIS,69776003,,,
ACUTE KIDNEY INJURY,14669001,,,
ALOPECIA,56317004,,,
ALTERED CONSCIOUSNESS/CONFUSION,40917007,clouded consciousness,,
ANAEMIA,271737000,,,
ANOREXIA,56882008,,,
APNOEA,1023001,,,
ARDS,67782005,,,
ASTHMA,195967001,,,
ASYMPTOMATIC,,,,
ATOPIC SYMPTOMS,,,,
ATRIAL FIBRILLATION,49436004,,,
AUTOIMMUNE DISEASE,85828009,,,
BACTERAEMIA,5758002,,,
BACTERIAL PNEUMONIA,53084003,,,
BENIGN NEOPLASM,3898006,,,
BLEEDING,131148009,,,
BRONCHIECTASIS,12295008,,,
BRONCHIOLITIS,12295008,,,
CARDIAC ARREST,410429000,,,
CARDIAC ARRHYTHMIA,698247007,,,
CARDIAC ISCHAEMIA,414795007,,,
CARDIOGENIC SHOCK,89138009,,,
CARDIOMYOPATHY,85898001,,,
CHANGES IN MENSTRUATION,,,,
CHEST PAIN,29857009,,,
CHRONIC CARDIAC DISEASE (NOT HYPERTENSION),,,,
CHRONIC GASTROINTESTINAL DISEASE,8493009,chronic gastritis,,
CHRONIC HAEMATOLOGICAL DISEASE,,,,
CHRONIC KIDNEY DISEASE,709044004,,,
CHRONIC NEUROLOGICAL DISORDER,128283000,,,
CHRONIC PULMONARY DISEASE (NOT ASTHMA),17097001,,,
CLINICALLY-DIAGNOSED COVID-19,,,,
CO- OR SECONDARY INFECTION,,,,
COAGULATION DISORDER,64779008,,,
COGNITIVE IMPAIRMENT,386806002,,,
CONGENITAL HEART DISEASE,13213009,,,
CONGESTIVE HEART FAILURE,42343007,,,
CONJUNCTIVITIS,9826008,,,
CONSTIPATION,14760008,,,
COUGH,49727002,,,
COUGH - NON-PRODUCTIVE,11833005,,,
COUGH - PRODUCTIVE,28743005,,,
COUGH - WITH HAEMOPTYSIS,66857006,,,
COVID TOES,,,,
COVID-19,,,,
COVID-19 SYMPTOMS,,,,
CRYPTOGENIC ORGANIZING PNEUMONIA (COP),719218000,,,
CYANOSIS,3415004,,,
DEEP VEIN THROMBOSIS,128053003,,,
DEHYDRATION,34095006,,,
DEMENTIA,52448006,,,
DIABETES MELLITUS - GESTATIONAL,11687002,,,
DIABETES MELLITUS - TYPE 1,46635009,,,
DIABETES MELLITUS - TYPE 2,44054006,,,
DIABETES MELLITUS - TYPE NOT SPECIFIED,73211009,,,
DIABETIC KETOACIDOSIS,420422005,,,
DIARRHOEA,62315008,,,
DIFFICULTY EATING OR DRINKING,,,,
DISSEMINATED INTRAVASCULAR COAGULATION,,,,
DISTURBANCE IN ATTENTION,,,,
DIZZINESS,404640003,,,
DRY SKIN,52475004,,,
EAR PAIN,301354004,,,
ELEVATED BNP,681121000124101,,,
ELEVATED TROPONIN,444931001,High troponin I level,,
EMPYEMA,66696003,,,
ENCEPHALOPATHY,81308009,,,
ENDOCARDITIS,56819008,,,
ENDOCARDITIS/MYOCARDITIS/PERICARDITIS,128998007,Inflammatory disorder of the cardiovascular system,,
ERECTILE DYSFUNCTION,860914002,,,
FAECAL INCONTINENCE,72042002,,,
FAINTING/BLACKOUTS,271594007,,,
FATIGUE/MALAISE,271795006,,,
FEVER/HISTORY OF FEVER,386661006,,,
GASTRO-OESOPHAGEAL REFLUX DISEASE,235595009,,,
GASTROINTESTINAL BLEEDING,74474003,,,
GRUNTING,62085005,,,
HAEMODYNAMIC DECOMPENSATION,,,,
HAEMOGLOBINURIA,,,,
HEADACHE,25064002,,,
HEART FAILURE,84114007,,,
HEMATO MALIGNANCIES,,,,
HEMATO OTHER,,,,
HEMATURIA,34436003,,,
HEPATOMEGALY,80515008,,,
HIV,86406008,,,
HIV/ACQUIRED IMMUNOSUPPRESSION,,,,
HYPERGLYCAEMIA,80394007,,,
HYPERTENSION,38341003,,,
HYPERTENSIVE CRISIS,706882009,,,
HYPERTHYROIDISM,34486009,,,
HYPOGLYCAEMIA,302866003,,,
HYPOTENSION,45007003,,,
HYPOTHYROIDISM,40930008,,,
IMMUNOSUPPRESSION,234532001,,,
INABILITY TO WALK,,,,
INCREASED THIRST,,,,
IRRITABILITY,,,,
ISCHAEMIC HEART DISEASE,,,,
ITCHY AND/OR RED EYES,,,,
JAUNDICE,267030001,,,
KIDNEY DISEASE,,,,
LEUKOCYTURIA,,,,
LIPID DISORDER,,,,
LIVER DISEASE (SEVERITY NOT SPECIFIED),,,,
LIVER DYSFUNCTION,,,,
LOSS OF SENSATION,,,,
LOST/ALTERED SENSE OF SMELL,44169009,,,
LOST/ALTERED SENSE OF TASTE,36955009,,,
LUNG ABSCESSES,,,,
LYMPHADENOPATHY,30746006,,,
MALARIA,61462000,,,
MALIGNANT NEOPLASM,363346000,,,
MALIGNANT NEOPLASM NLP,,,,
MALNUTRITION,2492009,,,
MENINGITIS/ENCEPHALITIS,,,,
MENTAL DISORDER,,,,
MIGRAINE,,,,
MILD LIVER DISEASE,,,,
MODERATE OR SEVERE LIVER DISEASE,,,,
MOTOR OR SENSORY DEFICIT,,,,
MOUTH ULCERS,26284000,,,
MULTISYSTEM INFLAMMATORY SYNDROME,,,,
MUSCLE ACHES/JOINT PAIN,,,,
MUSCLE WEAKNESS,,,,
MYOCARDIAL INFARCTION,,,,
MYOCARDITIS,50920009,,,
MYOCARDITIS/PERICARDITIS,128998007,Inflammatory disorder of the cardiovascular system,,
NASAL FLARING,248568003,,,
NEOPLASM (UNSPECIFIED),,,,
NEUROLOGICAL COMPLICATION,,,,
NOSOCOMIAL SEPSIS,,,,
OBESITY,414916001,,,
OTHER,,,,
OTHER ACUTE RESPIRATORY INFECTION,,,,
PAIN (SITE NOT SPECIFIED),,,,
PALLOR,PALPITATIONS,pale face,,
PALPITATIONS,80313002,,,
PANCREATITIS,75694006,,,
PARAESTHESIA,91019004,,,
PEPTIC ULCER DISEASE,13200003,,,
PERICARDITIS,3238004,,,
PERIPHERAL VASCULAR DISEASE,,,,
PHOTOPHOBIA,409668002,,,
PLEURAL EFFUSION,60046008,,,
PLEURISY,196075003,,,
PNEUMONIA,233604007,,,
PNEUMOTHORAX,36118008,,,
POSSIBLE NEOPLASM (AMBIGUOUS) NLP,,,,
POST SURGICAL COMPLICATIONS,385486001,postoperative complication,,
PRESSURE ULCERS,,,,
PROBLEMS PASSING URINE,,,,
PROBLEMS SEEING,,,,
PROBLEMS SLEEPING,,,,
PROBLEMS SPEAKING OR COMMUNICATING,,,,
PROBLEMS SWALLOWING OR CHEWING,288939007,Difficulty swallowing,,
PROBLEMS WITH BALANCE,387603000,impairment of balance,,
PROTEINURIA,29738008,,,
PULMONARY EMBOLISM,59282003,,,
PULMONARY EMBOLISM OR DVT,,,,
QTC PROLONGATION,,,,
RALES,48409008,,,
RAPID HEART BEAT/PULSE,,,,
RESPIRATORY SYMPTOMS NOT SPECIFIED,,,,
RHABDOMYOLYSIS,240131006,,,
RHEUMATOLOGICAL DISORDER,,,,
RUNNY NOSE,64531003,,,
SEIZURES,91175000,,,
SEPSIS,91302008,,,
SEPTIC SHOCK,76571007,,,
SHOCK,27942005,,,
SHORTNESS OF BREATH,267036007,,,
SINUS PAIN,4969004,sinus headache,,
SKIN RASH,271807003,,,
SMOKING,,,,
SNEEZING,76067001,,,
SOLID TUMOR,369757002,,,
SORE THROAT,162388002,,,
SPLENECTOMY,234319005,,,
SPLENOMEGALY,16294009,,,
SPONTANEOUS BRUISING,161887000,,,
ST ELEVATION,76388001,,,
STROKE,25133001,,,
STROKE/TRANSIENT ISCHAEMIC ATTACK,,,,
SUPRAVENTRICULAR ARRHYTHMIA,72654001,,,
SUSPECTED NEOPLASM,,,,
SWELLING,65124004,,,
THROMBOEMBOLSIM (NOT PE OR DVT),,,,
THROMBOSIS,439127006,,,
TINNITUS,60862001,,,
TRANSIENT ISCHAEMIC ATTACK,266257000,,,
TRANSPLANTATION,,,,
TREMOR,26079004,,,
TUBERCULOSIS,56717001,,,
UPPER RESPIRATORY TRACT SYMPTOMS (NOT SPECIFIED),,,,
URINARY INCONTINENCE,165232002,,,
URINARY TRACT INFECTION,68566005,,,
USE OF ACCESSORY RESPIRATORY MUSCLES,,,,
VENTILATOR-ASSOCIATED PNEUMONIA,429271009,,,
VENTRICULAR ARRHYTHMIA,44103008,,,
VIRAL PNEUMONIA,75570004,,,
VOMITING/NAUSEA,,,,
WEIGHT LOSS,816160009,,,
WHEEZING,56018004,,,
