SDTM variable,Term,FHIR resource,Data element,Code,Display,System,code_snomed,label_snomed,code_loinc,label_loinc,code_icd11,label_icd11,code_nci,label_nci,ucum_code,ucum_display,IG,comment
STUDYID,,,,,,,,,,,,,,,,,,
DOMAIN,,Observation,category,social-history,Social History,,,,,,,,,,,,,category not used in US PH
USUBJID,,Observation,subject,,,,,,,,,,,,,,,
POSEQ,,not mapped,,,,,,,,,,,,,,,,
POTERM,Born Alive | Live Birth,Observation,value,,,,281050002,Livebirth (finding),LA14270-5,Live birth,,,,,,,,
,Pregnancy,not mapped directly,,,,,,,,,,,,,,,,
,Stillbirth | Still Birth,Observation,value,,,,237364002,Stillbirth (finding),LA14271-3,Stillborn,,,,,,,,
,UNKNOWN,Observation,value,,,,261665006,Unknown (qualifier value),,,,,,,,,,
POMODIFY,{blank},not mapped,,,,,,,,,,,,,,,,
POCAT,PREGNANCY OUTCOME,Observation,code,,,,,,63893-2,Outcome of pregnancy,,,,,,,US PH,
,{blank},not mapped,,,,,,,,,,,,,,,,
POPRESP,{blank},not mapped,,,,,,,,,,,,,,,,
POOCCUR,{blank},not mapped,,,,,,,,,,,,,,,,
POSTAT,{blank},not mapped,,,,,,,,,,,,,,,,
POREASND,{blank},not mapped,,,,,,,,,,,,,,,,
VISITNUM,1,,,,,,,,,,,,,,,,,
,{blank},,,,,,,,,,,,,,,,,
VISIT,Day 0,,,,,,,,,,,,,,,,,
,Hospital Discharge,,,,,,,,,,,,,,,,,
,{blank},,,,,,,,,,,,,,,,,
VISITDY,1,,,,,,,,,,,,,,,,,
,{blank},,,,,,,,,,,,,,,,,
EPOCH,{blank},not mapped,,,,,,,,,,,,,,,,
PODTC,Date | DateTime,,,,,,,,,,,,,,,,,
POSTDTC,Date,Observation,effectiveDateTime,,,,,,,,,,,,,,,
POENDTC,Date,not mapped (same as POSTDTC),,,,,,,,,,,,,,,,
PODY,integer,not mapped,,,,,,,,,,,,,,,,
POSTDY,integer,,,,,,,,,,,,,,,,,
POENDY,integer,not mapped,,,,,,,,,,,,,,,,
POSTRF,{blank},not mapped,,,,,,,,,,,,,,,,
POENRF,{blank},not mapped,,,,,,,,,,,,,,,,
POEVINTX,{blank},not mapped,,,,,,,,,,,,,,,,
POFETNUM,{blank},not mapped,,,,,,,,,,,,,,,,
POFTINID,{blank},not mapped,,,,,,,,,,,,,,,,
POMODDLV,{blank},not mapped,,,,,,,,,,,,,,,,
POSETTNG,{blank},not mapped,,,,,,,,,,,,,,,,
